0MsrWnxQZxPAcov7c74sSo,Holiday/Boulevard Of Broken Dreams,Green Day,American Idiot (Regular Edition)
4QjjabJx7K14tHwxEVI0Xc,What's Love Got To Do WIth It - 1997 Digital Remaster,Tina Turner,Tina Turner Love Songs
2d6m2F4I7wCuAKtSsdhh83,Famous Last Words,My Chemical Romance,The Black Parade (Explicit Version)
5quDBRdCCfk0daouYSGuN3,You Can't Take Me - Soundtrack Version,Bryan Adams,Spirit: Stallion Of The Cimarron (Soundtrack)
3hz2kPsMWohFw6PY0I7ufT,I Want It All - 2010 Digital Remaster,Queen,Absolute Greatest
5rpo9tGeFdtPSQtE5bbPDL,Still Got The Blues - 2002 Digital Remaster,Gary Moore,Gary Moore - The Platinum Collection
6tVs6BS4vqrFsCrHS0Ycsr,The Trooper - 1998 Remastered Version,Iron Maiden,Somewhere Back In Time - The Best of: 1980 - 1989
6q9CRTF8dyABIcKj7bCJwf,Fear Of The Dark - 1998 Remastered Version,Iron Maiden,Ed Hunter
39aRmixB9qNtCU2t8BmsC1,One Of Us - Short Version,Joan Osborne,The Best Of Joan Osborne 20th Century Masters The Millennium Collection
6Dwy69C8556LxhPlKAMD1K,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package)
63xBKQr7HJkKaSyhwEWCnE,Run - Revised Album Version,Snow Patrol,Up To Now
